Pays,Clics,Impressions,CTR,Position
France,48,1771,2.71%,13.12
États-Unis,0,27,0%,14.44
Canada,0,7,0%,10.14
Italie,0,6,0%,2.17
Espagne,0,5,0%,6.2
Royaume-Uni,0,5,0%,17.4
Algérie,0,4,0%,7.75
Russie,0,4,0%,8.25
Brésil,0,3,0%,1
Réunion (Île de la),0,3,0%,1
Arabie Saoudite,0,2,0%,4.5
Roumanie,0,2,0%,34
Portugal,0,2,0%,35
Allemagne,0,2,0%,40.5
Vietnam,0,2,0%,73
Gambie,0,1,0%,1
Hong-Kong,0,1,0%,1
Oman,0,1,0%,1
Grèce,0,1,0%,2
Pays-Bas,0,1,0%,2
Pérou,0,1,0%,2
Albanie,0,1,0%,3
Nigéria,0,1,0%,3
Émirats Arabes Unis,0,1,0%,7
Palestine,0,1,0%,7
Chine,0,1,0%,8
Belgique,0,1,0%,10
Suisse,0,1,0%,10
Maroc,0,1,0%,10
Japon,0,1,0%,20
Pologne,0,1,0%,21
Guatemala,0,1,0%,58
Chili,0,1,0%,66
Indonésie,0,1,0%,69
Afrique du Sud,0,1,0%,70
Mexique,0,1,0%,80
Argentine,0,1,0%,86
